"src" "target_id" "target_type" "player_id" "query_id" "answer" "answer_latency" "clip_id" "test_order" "age_grp" "clip_order"
"49" "122t_sturenkatu_bussikatos.NE.mp4" 1415698414398 "occlusion" "207_y2_n" 1 "present" 1.526 "122t" "2" "C" "13"
"50" "122t_sturenkatu_bussikatos.NE.mp4" 1415698428035 "nothing" "207_y2_n" 1 "notpresent" 3.493 "122t" "2" "C" "13"
"51" "131t_lastenvaunut.mp4" 1417080141788 "pedestrian" "207_y2_n" 2 "present" 1.584 "131t" "2" "C" "14"
"52" "131t_lastenvaunut.mp4" 1417080243016 "nothing" "207_y2_n" 2 "present" 4.471 "131t" "2" "C" "14"
"53" "131t_lastenvaunut.mp4" 1417080256702 "nothing" "207_y2_n" 2 "notpresent" 5.216 "131t" "2" "C" "14"
"54" "140t_suojatieneteen_pysahtynyt_kuormaauto.mp4" 1417081011034 "nothing" "207_y2_n" 3 "present" 2.353 "140t" "2" "C" "15"
"55" "140t_suojatieneteen_pysahtynyt_kuormaauto.mp4" 1417081002104 "occlusion" "207_y2_n" 3 "notpresent" 3.649 "140t" "2" "C" "15"
"56" "114t_Rautatieasema.mp4" 1415884960995 "bicycle" "207_y2_n" 4 "present" 1.545 "114t" "2" "C" "16"
"57" "114t_Rautatieasema.mp4" 1415884991981 "nothing" "207_y2_n" 4 "notpresent" 2.772 "114t" "2" "C" "16"
"58" "114t_Rautatieasema.mp4" 1418073789710 "pedestrian" "207_y2_n" 4 "notpresent" 2.772 "114t" "2" "C" "16"
"59" "129t_lansipasila.NE.mp4" 1417451317761 "pedestrian" "207_y2_n" 5 "present" 1.439 "129t" "2" "C" "17"
"60" "129t_lansipasila.NE.mp4" 1417451306897 "occlusion" "207_y2_n" 5 "notpresent" 2.336 "129t" "2" "C" "17"
"61" "121t_kaantyva_auto.mp4" 1415698263163 "pedestrian" "207_y2_n" 6 "present" 4.694 "121t" "2" "C" "18"
"62" "121t_kaantyva_auto.mp4" 1415698293860 "car" "207_y2_n" 6 "notpresent" 8.048 "121t" "2" "C" "18"
"63" "121t_kaantyva_auto.mp4" 1418074069561 "nothing" "207_y2_n" 6 "notpresent" 8.048 "121t" "2" "C" "18"
"64" "125t_hameentie2.mp4" 1415698818754 "pedestrian" "207_y2_n" 7 "present" 1.935 "125t" "2" "C" "19"
"65" "125t_hameentie2.mp4" 1418074140522 "nothing" "207_y2_n" 7 "present" 4.447 "125t" "2" "C" "19"
"66" "125t_hameentie2.mp4" 1415698839503 "nothing" "207_y2_n" 7 "notpresent" 6.686 "125t" "2" "C" "19"
"67" "137t_pyorailija_oikealta.mp4" 1415715705605 "bicycle" "207_y2_n" 0 "present" 1.352 "137t" "2" "C" "20"
"68" "137t_pyorailija_oikealta.mp4" 1418074171327 "nothing" "207_y2_n" 0 "notpresent" 2.565 "137t" "2" "C" "20"
"69" "105t_kaantyva_auto.mp4" 1415884137462 "car" "207_y2_n" 1 "present" 1.331 "105t" "2" "C" "21"
"70" "105t_kaantyva_auto.mp4" 1415884148332 "nothing" "207_y2_n" 1 "present" 1.763 "105t" "2" "C" "21"
"71" "105t_kaantyva_auto.mp4" 1418074257664 "occlusion" "207_y2_n" 1 "notpresent" 2.534 "105t" "2" "C" "21"
"72" "138t_sturenkatu2.mp4" 1415715908186 "pedestrian" "207_y2_n" 2 "present" 1.331 "138t" "2" "C" "22"
"73" "138t_sturenkatu2.mp4" 1415715959002 "nothing" "207_y2_n" 2 "notpresent" 2.251 "138t" "2" "C" "22"
"74" "135t_paaskylanrinne.NE.mp4" 1417080689204 "nothing" "207_y2_n" 3 "present" 1.29 "135t" "2" "C" "23"
"75" "135t_paaskylanrinne.NE.mp4" 1417080682084 "occlusion" "207_y2_n" 3 "present" 1.707 "135t" "2" "C" "23"
"76" "108t_karkikolmio.mp4" 1415884642624 "nothing" "207_y2_n" 4 "present" 1.635 "108t" "2" "C" "24"
"77" "108t_karkikolmio.mp4" 1415884642624 "nothing" "207_y2_n" 4 "notpresent" 4.018 "108t" "2" "C" "24"
"78" "108t_karkikolmio.mp4" 1415884636560 "car" "207_y2_n" 4 "present" 4.67 "108t" "2" "C" "24"
"79" "108t_karkikolmio.mp4" 1415884642624 "nothing" "207_y2_n" 4 "notpresent" 5.591 "108t" "2" "C" "24"
"80" "133t_mansku_pysakoituauto.NE.mp4" 1417080527126 "pedestrian" "207_y2_n" 5 "present" 2.979 "133t" "2" "C" "25"
"81" "133t_mansku_pysakoituauto.NE.mp4" 1417080531875 "occlusion" "207_y2_n" 5 "present" 3.335 "133t" "2" "C" "25"
"82" "149t_jalankulkija.mp4" 1415716739906 "pedestrian" "207_y2_n" 6 "present" 1.808 "149t" "2" "C" "26"
"83" "149t_jalankulkija.mp4" 1415716756633 "nothing" "207_y2_n" 6 "notpresent" 4.209 "149t" "2" "C" "26"
"84" "124t_alppila_jalankulkija_pyoratie.mp4" 1415698722278 "nothing" "207_y2_n" 7 "present" 1.967 "124t" "2" "C" "27"
"85" "124t_alppila_jalankulkija_pyoratie.mp4" 1415698696554 "pedestrian" "207_y2_n" 7 "present" 3.588 "124t" "2" "C" "27"
"86" "124t_alppila_jalankulkija_pyoratie.mp4" 1415698696554 "pedestrian" "207_y2_n" 7 "notpresent" 5.48 "124t" "2" "C" "27"
"87" "124t_alppila_jalankulkija_pyoratie.mp4" 1415698696554 "pedestrian" "207_y2_n" 7 "notpresent" 6.198 "124t" "2" "C" "27"
"88" "154t_leikattu.mp4" 1417975977594 "car" "224_h1_n" 0 "present" 20.767 "154t" "1" "C" "1"
"89" "154t_leikattu.mp4" 1417976010050 "pedestrian" "224_h1_n" 0 "present" 22.166 "154t" "1" "C" "1"
"90" "154t_leikattu.mp4" 1417975993361 "nothing" "224_h1_n" 0 "notpresent" 35.238 "154t" "1" "C" "1"
"91" "112t_mikonkatu.mp4" 1417976314948 "pedestrian" "224_h1_n" 1 "present" 9.807 "112t" "1" "C" "2"
"92" "112t_mikonkatu.mp4" 1417976320517 "nothing" "224_h1_n" 1 "notpresent" 12.382 "112t" "1" "C" "2"
"93" "1t_paaty.mp4" 1417975808391 "occlusion" "224_h1_n" 2 "present" 5.851 "1t_p" "1" "C" "3"
"94" "1t_paaty.mp4" 1417975817766 "None" "224_h1_n" 2 "notpresent" 23.682 "1t_p" "1" "C" "3"
"95" "1t_paaty.mp4" 1417975844134 "None" "224_h1_n" 2 "notpresent" 23.682 "1t_p" "1" "C" "3"
"96" "101t_arkadiankatu.mp4" 1415696808942 "pedestrian" "224_h1_n" 3 "present" 3.992 "101t" "1" "C" "4"
"97" "101t_arkadiankatu.mp4" 1415696828199 "nothing" "224_h1_n" 3 "notpresent" 8.941 "101t" "1" "C" "4"
"98" "156t_edesta_vas.kaantyva_auto.mp4" 1417082359237 "car" "224_h1_n" 4 "present" 3.061 "156t" "1" "C" "5"
"99" "156t_edesta_vas.kaantyva_auto.mp4" 1417082344150 "occlusion" "224_h1_n" 4 "notpresent" 6.602 "156t" "1" "C" "5"
"100" "156t_edesta_vas.kaantyva_auto.mp4" 1417082383150 "nothing" "224_h1_n" 4 "notpresent" 6.603 "156t" "1" "C" "5"
"101" "142t_auto_tiella.mp4" 1417081304606 "pedestrian" "224_h1_n" 5 "present" 1.313 "142t" "1" "C" "6"
"102" "142t_auto_tiella.mp4" 1417081316401 "nothing" "224_h1_n" 5 "notpresent" 2.179 "142t" "1" "C" "6"
"103" "142t_auto_tiella.mp4" 1417081324670 "car" "224_h1_n" 5 "notpresent" 2.179 "142t" "1" "C" "6"
"104" "157t_isoroba.mp4" 1415635334841 "pedestrian" "224_h1_n" 6 "present" 1.603 "157t" "1" "C" "7"
"105" "157t_isoroba.mp4" 1415635289617 "nothing" "224_h1_n" 6 "notpresent" 2.946 "157t" "1" "C" "7"
"106" "157t_isoroba.mp4" 1417082584296 "pedestrian" "224_h1_n" 6 "notpresent" 2.946 "157t" "1" "C" "7"
"107" "139t_sturenkatu_talonkulma.NE.mp4" 1417080850414 "occlusion" "224_h1_n" 7 "present" 4.86 "139t" "1" "C" "8"
"108" "139t_sturenkatu_talonkulma.NE.mp4" 1417080850414 "occlusion" "224_h1_n" 7 "notpresent" 10.095 "139t" "1" "C" "8"
"109" "139t_sturenkatu_talonkulma.NE.mp4" 1417080902176 "car" "224_h1_n" 7 "present" 10.58 "139t" "1" "C" "8"
"110" "139t_sturenkatu_talonkulma.NE.mp4" 1417080850414 "occlusion" "224_h1_n" 7 "notpresent" 11.711 "139t" "1" "C" "8"
"111" "139t_sturenkatu_talonkulma.NE.mp4" 1417080918534 "nothing" "224_h1_n" 7 "notpresent" 11.711 "139t" "1" "C" "8"
"112" "158t_jalankulkija_ja_suojatie.mp4" 1415693921254 "pedestrian" "224_h1_n" 8 "present" 2.077 "158t" "1" "C" "9"
"113" "158t_jalankulkija_ja_suojatie.mp4" 1415694025834 "bicycle" "224_h1_n" 8 "present" 3.233 "158t" "1" "C" "9"
"114" "158t_jalankulkija_ja_suojatie.mp4" 1415694043645 "nothing" "224_h1_n" 8 "notpresent" 4.135 "158t" "1" "C" "9"
"115" "144t_itapasila.mp4" 1415716339052 "occlusion" "224_h1_n" 9 "present" 3.056 "144t" "1" "C" "10"
"116" "144t_itapasila.mp4" 1415716328260 "car" "224_h1_n" 9 "notpresent" 4.296 "144t" "1" "C" "10"
"117" "102t_bussi.risteys.mp4" 1415883524559 "car" "224_h1_n" 10 "present" 3.116 "102t" "1" "C" "11"
"118" "102t_bussi.risteys.mp4" 1415883895524 "nothing" "224_h1_n" 10 "notpresent" 4.668 "102t" "1" "C" "11"
"119" "102t_bussi.risteys.mp4" 1418073157142 "nothing" "224_h1_n" 10 "notpresent" 4.669 "102t" "1" "C" "11"
"120" "117t_suojatie.mp4" 1415885691202 "pedestrian" "224_h1_n" 0 "present" 1.248 "117t" "1" "C" "12"
"121" "117t_suojatie.mp4" 1415885701666 "nothing" "224_h1_n" 0 "notpresent" 2.377 "117t" "1" "C" "12"
"122" "122t_sturenkatu_bussikatos.NE.mp4" 1415698414398 "occlusion" "224_h1_n" 1 "present" 1.157 "122t" "1" "C" "13"
"123" "122t_sturenkatu_bussikatos.NE.mp4" 1415698428035 "nothing" "224_h1_n" 1 "notpresent" 2.798 "122t" "1" "C" "13"
"124" "131t_lastenvaunut.mp4" 1417080141788 "pedestrian" "224_h1_n" 2 "present" 0.984 "131t" "1" "C" "14"
"125" "131t_lastenvaunut.mp4" 1417080243016 "nothing" "224_h1_n" 2 "notpresent" 2.912 "131t" "1" "C" "14"
"126" "131t_lastenvaunut.mp4" 1417080256702 "nothing" "224_h1_n" 2 "notpresent" 2.913 "131t" "1" "C" "14"
"127" "140t_suojatieneteen_pysahtynyt_kuormaauto.mp4" 1417081011034 "nothing" "224_h1_n" 3 "present" 1.176 "140t" "1" "C" "15"
"128" "140t_suojatieneteen_pysahtynyt_kuormaauto.mp4" 1417081002104 "occlusion" "224_h1_n" 3 "notpresent" 2.536 "140t" "1" "C" "15"
"129" "114t_Rautatieasema.mp4" 1418073789710 "pedestrian" "224_h1_n" 4 "present" 1.787 "114t" "1" "C" "16"
"130" "114t_Rautatieasema.mp4" 1418073789710 "pedestrian" "224_h1_n" 4 "notpresent" 3.899 "114t" "1" "C" "16"
"131" "114t_Rautatieasema.mp4" 1415884991981 "nothing" "224_h1_n" 4 "present" 4.458 "114t" "1" "C" "16"
"132" "114t_Rautatieasema.mp4" 1415884960995 "bicycle" "224_h1_n" 4 "notpresent" 5.637 "114t" "1" "C" "16"
"133" "114t_Rautatieasema.mp4" 1418073789710 "pedestrian" "224_h1_n" 4 "notpresent" 5.638 "114t" "1" "C" "16"
"134" "129t_lansipasila.NE.mp4" 1417451317761 "pedestrian" "224_h1_n" 5 "present" 1.117 "129t" "1" "C" "17"
"135" "129t_lansipasila.NE.mp4" 1417451306897 "occlusion" "224_h1_n" 5 "notpresent" 2.659 "129t" "1" "C" "17"
"136" "121t_kaantyva_auto.mp4" 1415698263163 "pedestrian" "224_h1_n" 6 "present" 1.082 "121t" "1" "C" "18"
"137" "121t_kaantyva_auto.mp4" 1415698293860 "car" "224_h1_n" 6 "notpresent" 1.908 "121t" "1" "C" "18"
"138" "121t_kaantyva_auto.mp4" 1418074069561 "nothing" "224_h1_n" 6 "notpresent" 1.908 "121t" "1" "C" "18"
"139" "125t_hameentie2.mp4" 1415698818754 "pedestrian" "224_h1_n" 7 "present" 1.349 "125t" "1" "C" "19"
"140" "125t_hameentie2.mp4" 1415698839503 "nothing" "224_h1_n" 7 "notpresent" 2.122 "125t" "1" "C" "19"
"141" "125t_hameentie2.mp4" 1418074140522 "nothing" "224_h1_n" 7 "notpresent" 2.122 "125t" "1" "C" "19"
"142" "137t_pyorailija_oikealta.mp4" 1415715705605 "bicycle" "224_h1_n" 0 "present" 1.43 "137t" "1" "C" "20"
"143" "137t_pyorailija_oikealta.mp4" 1418074171327 "nothing" "224_h1_n" 0 "notpresent" 2.125 "137t" "1" "C" "20"
"144" "105t_kaantyva_auto.mp4" 1415884137462 "car" "224_h1_n" 1 "present" 0.827 "105t" "1" "C" "21"
"145" "105t_kaantyva_auto.mp4" 1415884148332 "nothing" "224_h1_n" 1 "notpresent" 2.111 "105t" "1" "C" "21"
"146" "105t_kaantyva_auto.mp4" 1418074257664 "occlusion" "224_h1_n" 1 "notpresent" 2.111 "105t" "1" "C" "21"
"147" "138t_sturenkatu2.mp4" 1415715908186 "pedestrian" "224_h1_n" 2 "present" 1.18 "138t" "1" "C" "22"
"148" "138t_sturenkatu2.mp4" 1415715959002 "nothing" "224_h1_n" 2 "notpresent" 2.527 "138t" "1" "C" "22"
"149" "135t_paaskylanrinne.NE.mp4" 1417080682084 "occlusion" "224_h1_n" 3 "present" 2.167 "135t" "1" "C" "23"
"150" "135t_paaskylanrinne.NE.mp4" 1417080689204 "nothing" "224_h1_n" 3 "notpresent" 3.224 "135t" "1" "C" "23"
"151" "108t_karkikolmio.mp4" 1415884636560 "car" "224_h1_n" 4 "present" 1.756 "108t" "1" "C" "24"
"152" "108t_karkikolmio.mp4" 1415884642624 "nothing" "224_h1_n" 4 "notpresent" 2.418 "108t" "1" "C" "24"
