"age_grp" "gender" "player_id" "Phit" "Pmiss" "PfalseAlarm" "PcorrectRejection"
"A" "Mies" 2016020202 0.518987341772152 0.0506329113924051 0.0759493670886076 0.354430379746835
"A" "Mies" 2016020402 0.443037974683544 0.126582278481013 0.0632911392405063 0.367088607594937
"A" "Mies" 2016022304 0.506329113924051 0.0632911392405063 0.126582278481013 0.30379746835443
"A" "Nainen" 2016020302 0.506329113924051 0.0632911392405063 0.0759493670886076 0.354430379746835
"A" "Nainen" 2016020404 0.544303797468354 0.0253164556962025 0.0759493670886076 0.354430379746835
"A" "Nainen" 2016020405 0.518987341772152 0.0506329113924051 0.189873417721519 0.240506329113924
"A" "Nainen" 2016022202 0.531645569620253 0.0379746835443038 0.151898734177215 0.278481012658228
"A" "Nainen" 2016022302 0.518987341772152 0.0506329113924051 0.0632911392405063 0.367088607594937
"A" "Nainen" 2016022402 0.506329113924051 0.0632911392405063 0.113924050632911 0.316455696202532
"A" "Nainen" 2016022502 0.531645569620253 0.0379746835443038 0.291139240506329 0.139240506329114
"C" "Mies" 2016020802 0.40506329113924 0.164556962025316 0.113924050632911 0.316455696202532
"C" "Mies" 2016020804 0.493670886075949 0.0759493670886076 0.227848101265823 0.20253164556962
"C" "Mies" 2016020805 0.481012658227848 0.0886075949367089 0.0759493670886076 0.354430379746835
"C" "Mies" 2016020806 0.493670886075949 0.0759493670886076 0.164556962025316 0.265822784810127
"C" "Mies" 2016020808 0.430379746835443 0.139240506329114 0.164556962025316 0.265822784810127
"C" "Mies" 2016021004 0.480519480519481 0.0909090909090909 0.181818181818182 0.246753246753247
"C" "Mies" 2016021005 0.455696202531646 0.113924050632911 0.189873417721519 0.240506329113924
"C" "Mies" 2016021007 0.379746835443038 0.189873417721519 0.126582278481013 0.30379746835443
"C" "Mies" 2016021105 0.443037974683544 0.126582278481013 0.126582278481013 0.30379746835443
"C" "Mies" 2016021202 0.430379746835443 0.139240506329114 0.139240506329114 0.291139240506329
"C" "Mies" 2016021204 0.443037974683544 0.126582278481013 0.10126582278481 0.329113924050633
"C" "Mies" 2016021205 0.40506329113924 0.164556962025316 0.177215189873418 0.253164556962025
"C" "Mies" 2016021206 0.455696202531646 0.113924050632911 0.164556962025316 0.265822784810127
"C" "Mies" 2016021207 0.430379746835443 0.139240506329114 0.265822784810127 0.164556962025316
"C" "Mies" 2016021507 0.430379746835443 0.139240506329114 0.0632911392405063 0.367088607594937
"C" "Nainen" 2016020807 0.493670886075949 0.0759493670886076 0.10126582278481 0.329113924050633
"C" "Nainen" 2016020809 0.430379746835443 0.139240506329114 0.20253164556962 0.227848101265823
"C" "Nainen" 2016021002 0.430379746835443 0.139240506329114 0.0759493670886076 0.354430379746835
"C" "Nainen" 2016021006 0.40506329113924 0.164556962025316 0.0886075949367089 0.341772151898734
"C" "Nainen" 2016021102 0.40506329113924 0.164556962025316 0.240506329113924 0.189873417721519
"C" "Nainen" 2016021104 0.341772151898734 0.227848101265823 0.189873417721519 0.240506329113924
"C" "Nainen" 2016021106 0.430379746835443 0.139240506329114 0.189873417721519 0.240506329113924
"C" "Nainen" 2016021502 0.468354430379747 0.10126582278481 0.189873417721519 0.240506329113924
"C" "Nainen" 2016021504 0.40506329113924 0.164556962025316 0.189873417721519 0.240506329113924
"C" "Nainen" 2016021505 0.468354430379747 0.10126582278481 0.189873417721519 0.240506329113924
"C" "Nainen" 2016021506 0.481012658227848 0.0886075949367089 0.215189873417722 0.215189873417722
