Population by municipality and its change 31.12.2014

The data was downloaded from the address below and then translated to English. 
http://pxnet2.stat.fi/PXWeb/pxweb/fi/StatFin/StatFin__vrm__vaerak/010_vaerak_tau_123.px/?rxid=9d947544-9c3f-4f63-b239-dfad9361bedc

"Municipality","31.12.2014 Total","31.12.2014 Males","31.12.2014 Females","Change during 2014 Total","Change during 2014 Males","Change during 2014 Females"
"Kärkölä",4647,2347,2300,-108,-52,-56
"Kärsämäki",2696,1397,1299,-25,-10,-15
"Kökar",254,142,112,3,2,1
"Köyliö",2647,1360,1287,-41,-7,-34
"Lahti",103754,49340,54414,390,175,215
"Laihia",8068,4035,4033,61,23,38
"Laitila",8542,4219,4323,55,35,20
"Lapinjärvi",2779,1393,1386,-41,-10,-31
"Lapinlahti",10093,5093,5000,-83,-47,-36
"Lappajärvi",3259,1609,1650,-58,-33,-25
"Lappeenranta",72794,35977,36817,136,100,36
"Lapua",14733,7295,7438,41,4,37
"Laukaa",18709,9411,9298,121,97,24
"Lemi",3116,1646,1470,-14,-13,-1
"Lemland",1943,990,953,17,1,16
"Lempäälä",22233,11073,11160,404,181,223
"Leppävirta",10015,5074,4941,-155,-70,-85
"Lestijärvi",817,415,402,-1,4,-5
"Lieksa",12117,6184,5933,-186,-87,-99
"Lieto",19209,9570,9639,81,3,78
"Liminka",9740,4967,4773,163,71,92
"Liperi",12335,6236,6099,-61,-28,-33
"Lohja",47624,23442,24182,-79,-77,-2
"Loimaa",16607,8198,8409,-93,-33,-60
"Loppi",8291,4253,4038,-50,-29,-21
"Loviisa",15480,7729,7751,-13,-6,-7
"Luhanka",761,409,352,-2,5,-7
"Lumijoki",2074,1076,998,-10,5,-15
"Lumparland",418,216,202,5,2,3
"Luoto",5107,2614,2493,42,18,24
"Luumäki",4949,2519,2430,-43,-5,-38
"Luvia",3340,1691,1649,-15,-14,-1
"Maalahti",5573,2843,2730,-7,-4,-3
"Maarianhamina - Mariehamn",11479,5519,5960,86,60,26
"Marttila",2070,1050,1020,14,-1,15
"Masku",9767,4936,4831,38,27,11
"Merijärvi",1150,627,523,-3,-5,2
"Merikarvia",3246,1610,1636,20,9,11
"Miehikkälä",2123,1071,1052,-22,-24,2
"Mikkeli",54605,26606,27999,-30,-24,-6
"Muhos",8986,4568,4418,-12,-12,0
"Multia",1763,922,841,-14,6,-20
"Muonio",2375,1188,1187,-8,-14,6
"Mustasaari",19287,9705,9582,134,69,65
"Muurame",9700,4882,4818,128,56,72
"Mynämäki",7917,3954,3963,-33,-33,0
"Myrskylä",1985,984,1001,-2,-5,3
"Mäntsälä",20621,10204,10417,87,55,32
"Mänttä-Vilppula",10723,5246,5477,-175,-96,-79
"Mäntyharju",6266,3092,3174,-21,-17,-4
"Naantali",18871,9149,9722,12,-4,16
"Nakkila",5651,2822,2829,-55,-8,-47
"Nastola",14890,7491,7399,-95,-43,-52
"Nivala",10945,5582,5363,3,-25,28
"Nokia",32847,16284,16563,157,98,59
"Nousiainen",4844,2471,2373,-28,-26,-2
"Nurmes",8082,4072,4010,-109,-50,-59
"Nurmijärvi",41577,20704,20873,399,216,183
"Närpiö",9389,4750,4639,54,31,23
"Orimattila",16288,8081,8207,-59,-10,-49
"Oripää",1417,708,709,-6,-2,-4
"Orivesi",9579,4712,4867,-51,-10,-41
"Oulainen",7725,3780,3945,-47,-10,-37
"Oulu",196291,97719,98572,2493,1382,1111
"Outokumpu",7172,3557,3615,-90,-46,-44
"Padasjoki",3197,1605,1592,-82,-35,-47
"Paimio",10628,5251,5377,38,12,26
"Paltamo",3564,1842,1722,-56,-26,-30
"Parainen",15494,7690,7804,-13,9,-22
"Parikkala",5373,2709,2664,-136,-58,-78
"Parkano",6808,3454,3354,-28,-7,-21
"Pedersören kunta",11060,5705,5355,90,77,13
"Pelkosenniemi",947,525,422,-19,-11,-8
"Pello",3676,1884,1792,-63,-31,-32
"Perho",2893,1458,1435,-30,-22,-8
"Pertunmaa",1832,943,889,-10,1,-11
"Petäjävesi",4081,2066,2015,-44,-22,-22
"Pieksämäki",19051,9361,9690,-237,-105,-132
"Pielavesi",4787,2460,2327,-37,-4,-33
"Pietarsaari",19577,9715,9862,-56,-35,-21
"Pihtipudas",4261,2105,2156,-93,-54,-39
"Pirkkala",18689,9224,9465,320,140,180
"Polvijärvi",4609,2351,2258,-55,-32,-23
"Pomarkku",2275,1166,1109,-65,-16,-49
"Pori",85418,41490,43928,19,39,-20
"Pornainen",5148,2613,2535,3,28,-25
"Porvoo",49728,24425,25303,302,154,148
"Posio",3633,1898,1735,-14,-9,-5
"Pudasjärvi",8399,4398,4001,-138,-84,-54
"Pukkila",2013,1007,1006,-23,-14,-9
"Punkalaidun",3117,1592,1525,-56,-31,-25
"Puolanka",2824,1460,1364,-54,-30,-24
"Puumala",2306,1171,1135,-13,-12,-1
"Pyhtää",5354,2677,2677,-30,1,-31
"Pyhäjoki",3290,1699,1591,-66,-37,-29
"Pyhäjärvi",5562,2798,2764,-169,-90,-79
"Pyhäntä",1562,814,748,17,18,-1
"Pyhäranta",2136,1087,1049,-41,-16,-25
"Pälkäne",6722,3368,3354,-73,-31,-42
"Pöytyä",8619,4414,4205,29,3,26
"Raahe",25383,12917,12466,-124,-59,-65
"Raasepori",28674,14102,14572,-21,13,-34
"Raisio",24371,11927,12444,-194,-76,-118
"Rantasalmi",3815,1911,1904,-57,-21,-36
"Ranua",4093,2134,1959,-61,-29,-32
"Rauma",39970,19777,20193,-9,36,-45
"Rautalampi",3374,1672,1702,-52,-36,-16
"Rautavaara",1768,960,808,-16,-10,-6
"Rautjärvi",3626,1836,1790,-56,-22,-34
"Reisjärvi",2901,1491,1410,-24,-15,-9
"Riihimäki",29350,14466,14884,32,6,26
"Ristijärvi",1416,728,688,-11,-3,-8
"Rovaniemi",61551,29961,31590,336,156,180
"Ruokolahti",5404,2683,2721,-103,-54,-49
"Ruovesi",4689,2387,2302,-82,-48,-34
"Rusko",6045,2987,3058,50,31,19
"Rääkkylä",2435,1277,1158,-32,-14,-18
"Saarijärvi",10084,5030,5054,-81,-26,-55
"Salla",3781,2021,1760,-109,-49,-60
"Salo",54238,26679,27559,-240,-125,-115
"Saltvik",1825,920,905,12,9,3
"Sastamala",25372,12559,12813,-139,-71,-68
"Sauvo",2999,1501,1498,-33,-20,-13
"Savitaipale",3667,1829,1838,-62,-36,-26
"Savonlinna",35944,17468,18476,-312,-101,-211
"Savukoski",1103,596,507,-23,-14,-9
"Seinäjoki",60880,29611,31269,526,242,284
"Sievi",5154,2656,2498,-44,3,-47
"Siikainen",1593,842,751,-39,-8,-31
"Siikajoki",5526,2877,2649,-67,-28,-39
