"player_id" "pcu_score"
"2016020805" 0.412037037037037
"2016020401" 0.713888888888889
"2016020405" 0.849206349206349
"2016020808" 0.611111111111111
"2016020802" 0.287037037037037
"2016020302" 0.733597883597884
"2016021002" NA
"2016021006" 0.175925925925926
"2016020402" 0.921428571428571
"2016020804" 0.525925925925926
"2016021101" 0
"2016020404" 1.09755291005291
"2016020202" 1.15873015873016
"2016021102" 0.375
"2016021001" 0.203703703703704
"2016020501" 0.690740740740741
"2016021005" 0.342592592592593
"2016020101" NA
"2016021007" 0.403703703703704
"2016020803" 0.259259259259259
"2016020806" 0.222222222222222
"2016020809" 0.166666666666667
"2016020801" 0.240740740740741
"2016020301" 0.664021164021164
"2016021003" 0.277777777777778
"2016021103" 0.690740740740741
"2016021004" 0.12037037037037
"2016020807" 0.707407407407407
"2016020201" 0.866402116402116
"2016020403" 0.914021164021164
